university,grants,eur_fractional,eur_fractional_gradeA,eur_fractional_gradeB,eur_fractional_gradeC,eur_fullclaim
Université Paris 13 - Paris Nord,2,1973152.75,1223843.75,749309.0,0.0,2722461.75
Université Reims Champagne-Ardenne,1,1808750.0,1808750.0,0.0,0.0,1808750.0
Université Limoges,2,1547715.0,0.0,747812.5,799902.5,1495625.0
Université de Bourgogne,1,1500000.0,0.0,0.0,1500000.0,1500000.0
Université Paris sciences et lettres,1,1491461.0,0.0,1491461.0,0.0,1491461.0
Université La Rochelle,2,1367579.475,0.0,1367579.475,0.0,150000.0
Université Haute Alsace Mulhouse,1,1346830.0,1346830.0,0.0,0.0,1346830.0
Université Littoral-Côte d'Opale,1,1300000.0,0.0,0.0,1300000.0,2600000.0
Université Le Havre,1,1247969.0,0.0,1247969.0,0.0,2495938.0
Université Polytechnique Hauts de France,1,999777.5,999777.5,0.0,0.0,1999555.0
Université de Valenciennes et du Hainaut-Cambrésis,1,949260.0,0.0,949260.0,0.0,1898520.0
Université Paris-Panthéon-Assas,1,150000.0,0.0,0.0,150000.0,150000.0
Université Marie et Louis Pasteur,1,75000.0,75000.0,0.0,0.0,150000.0
AVIGNON UNIVERSITE,1,75000.0,0.0,75000.0,0.0,150000.0
