component_id,grant_id,acronym,programme,grant_type,panel,call_year,start_date,start_year,end_date,starting_host,host_country,project_eu_contribution,french_component_amount,amount_method,is_synergy,resolution_status,evidence_grade,source_kind,match_mode,disposition,lab_name,rnsr_id,city,city_raw,code_postal,region,region_source,universities_at_start,universities_at_start_raw,n_universities_at_start,rto_tutelles,rto_tutelles_raw,other_etab_tutelles,other_etab_tutelles_raw,participants_nontutelle,participants_nontutelle_raw,tutelles_raw_v2,tutelle_source,tutelle_flags,flags,park_reason,evidence_ref,integration_note,dataset_version,source_snapshot_date,run_id,phase_d_route,phase_d_terminal_outcome
677470:0,677470,SEAQUEL,Horizon 2020,Starting Grants,PE2 - Fundamental Constituents of Matter,2015,2016-07-01,2016,2021-12-31,National Centre for Scientific Research (CNRS),FR,1500000.0,1500000.0,ordinary_full_project,False,resolved,B,openalex_author,v2_inherited,linked,Laboratoire Charles Fabry,199812837S,Palaiseau,PALAISEAU CEDEX,91127,Île-de-France,v2_pipeline_geocode,,,0,Centre national de la recherche scientifique,Centre national de la recherche scientifique,Institut Optique Graduate School,Institut d'Optique Graduate School,Université Paris-Sud,Université Paris-Sud,,historical_rnsr_2016,,city_cedex_normalized,,https://api.openalex.org/works?filter=authorships.author.id:<alexeiourjoumtsev>,,1.5.0,2026-07-24,20260827T142619Z_integration,,
681835:0,681835,FLUDYCO,Horizon 2020,Consolidator Grants,PE3 - Condensed Matter Physics,2015,2016-07-01,2016,2021-12-31,National Centre for Scientific Research (CNRS),FR,1992602.0,1992602.0,ordinary_full_project,False,resolved,A,hal_grant,v2_inherited,linked,Institut de Recherche sur les Phénomènes Hors Equilibre,201220273N,Marseille,MARSEILLE CEDEX 13,13384,Provence-Alpes-Côte d'Azur,v2_pipeline_geocode,Université Aix-Marseille,Aix-Marseille université,1,Centre national de la recherche scientifique,Centre national de la recherche scientifique,Ecole Centrale de Marseille,École centrale de Marseille,,,,historical_rnsr_2016,,city_cedex_normalized,,https://api.archives-ouvertes.fr/search/?q=europeanProjectReference_s:681835,,1.5.0,2026-07-24,20260827T142619Z_integration,,
682032:0,682032,PULSAR,Horizon 2020,Consolidator Grants,PE8 - Products & Processes Engineering,2015,2016-07-01,2016,2021-12-31,National Centre for Scientific Research (CNRS),FR,1996581.0,1996581.0,ordinary_full_project,False,resolved,B,hal_author,v2_inherited,linked,"Franche-Comté Électronique Mécanique, Thermique et Optique - Sciences et Technologies (UMR 6174)",200412232H,Besancon,BESANCON CEDEX,25030,Bourgogne-Franche-Comté,v2_pipeline_geocode,Université de Technologie de Belfort-Montbéliard;Université de Franche-Comté,Université de technologie de Belfort-Montbéliard;Université de Franche-Comté,2,,,Université Bourgogne - Franche-Comté;Ec Nat Sup Mécanique Microtechniques Besançon,Université Bourgogne - Franche-Comté;École nationale supérieure de mécanique et des microtechniques,,,,historical_rnsr_2016,,city_cedex_normalized,,https://api.archives-ouvertes.fr/search/?q=authFullName_t:,,1.5.0,2026-07-24,20260827T142619Z_integration,,
678777:0,678777,ICARUS,Horizon 2020,Starting Grants,PE9 - Universe Sciences,2015,2016-08-01,2016,2022-07-31,National Centre for Scientific Research (CNRS),FR,1747666.99,1747666.99,ordinary_full_project,False,resolved,A,hal_author,v2_inherited,linked,Laboratoire d'Astrophysique de Marseille,201220274P,Marseille,MARSEILLE CEDEX 13,13388,Provence-Alpes-Côte d'Azur,v2_pipeline_geocode,Université Aix-Marseille,Aix-Marseille université,1,Centre national de la recherche scientifique,Centre national de la recherche scientifique,,,,,,historical_rnsr_2016,,city_cedex_normalized,,https://api.archives-ouvertes.fr/search/?q=authFullName_t:,,1.5.0,2026-07-24,20260827T142619Z_integration,,
694651:0,694651,CHAMPAGNE,Horizon 2020,Advanced Grants,PE3 - Condensed Matter Physics,2015,2016-08-01,2016,2021-07-31,French Alternative Energies and Atomic Energy Commission,FR,1318145.0,1318145.0,ordinary_full_project,False,resolved,B,hal_author,v2_inherited,linked,LInguistique et DIdactique des Langues Étrangères et Maternelles,199113164C,Grenoble,GRENOBLE CEDEX 9,38040,Auvergne-Rhône-Alpes,v2_pipeline_geocode,Université Grenoble Alpes,Université de Grenoble Alpes;Université de Grenoble Alpes,1,,,,,,,,historical_rnsr_2016,,city_cedex_normalized,,https://api.archives-ouvertes.fr/search/?q=authFullName_t:,,1.5.0,2026-07-24,20260827T142619Z_integration,,
694768:0,694768,EUREC4A,Horizon 2020,Advanced Grants,PE10 - Earth System Science,2015,2016-08-01,2016,2022-07-31,National Centre for Scientific Research (CNRS),FR,3013334.0,3013334.0,ordinary_full_project,False,resolved,A,hal_author,v2_inherited,linked,Laboratoire de Météorologie Dynamique (UMR 8539),199812867Z,Palaiseau,PALAISEAU CEDEX,91128,Île-de-France,v2_pipeline_geocode,Université Pierre et Marie Curie,Université Pierre et Marie Curie,1,Centre national de la recherche scientifique,Centre national de la recherche scientifique,Ecole Polytechnique;Ecole Normale Supérieure Paris,École polytechnique;École normale supérieure de Paris,Ecole nationale des ponts et chaussées,École nationale des ponts et chaussées,,historical_rnsr_2016,historical_nature_code_misaligned|tutelle_nature_via_name_lookup,city_cedex_normalized,,https://api.archives-ouvertes.fr/search/?q=authFullName_t:,,1.5.0,2026-07-24,20260827T142619Z_integration,,
676999:0,676999,LiKo,Horizon 2020,Starting Grants,PE1 - Mathematics,2015,2016-09-01,2016,2022-08-31,University of Lyon 1 (Claude Bernard),FR,935000.0,935000.0,ordinary_full_project,False,resolved,A,hal_grant,v2_inherited,linked,Institut Camille Jordan,200511878U,Villeurbanne,VILLEURBANNE CEDEX,69622,Auvergne-Rhône-Alpes,v2_pipeline_geocode,Université Jean Monnet Saint-Étienne;Université Claude Bernard Lyon 1,Université Jean Monnet Saint-Étienne;Université Claude Bernard - Lyon 1,2,Centre national de la recherche scientifique,Centre national de la recherche scientifique,Ecole Centrale de Lyon;Institut National des Sciences Appliquées Lyon,École centrale de Lyon;Institut national des sciences appliquées de Lyon,Institut national de la recherche en informatique et automatique,Institut national de recherche en informatique et en automatique,,historical_rnsr_2016,,city_cedex_normalized,,https://api.archives-ouvertes.fr/search/?q=europeanProjectReference_s:676999,,1.5.0,2026-07-24,20260827T142619Z_integration,,
677147:0,677147,ModRed,Horizon 2020,Starting Grants,PE1 - Mathematics,2015,2016-09-01,2016,2021-08-31,University of Clermont Auvergne,FR,882843.75,882843.75,ordinary_full_project,False,resolved,A,hal_grant,v2_inherited,linked,Laboratoire de Mathématiques Blaise Pascal,199112391M,Aubiere,AUBIERE CEDEX,63178,Auvergne-Rhône-Alpes,v2_pipeline_geocode,Université Blaise Pascal,Université Blaise Pascal,1,,,,,,,,historical_rnsr_2016,,city_cedex_normalized,,https://api.archives-ouvertes.fr/search/?q=europeanProjectReference_s:677147,,1.5.0,2026-07-24,20260827T142619Z_integration,,
677368:0,677368,QUASIFT,Horizon 2020,Starting Grants,PE2 - Fundamental Constituents of Matter,2015,2016-09-01,2016,2021-08-31,Institute of Advanced Scientific Studies (IHES),FR,1498750.0,1498750.0,ordinary_full_project,False,resolved,B,openalex_author,v2_relink_unresolved,linked_no_rnsr_id,Institut des Hautes Études Scientifique,,,,,,,,,0,,,,,,,,v2_relink_unresolved,historical_fallback_to_active,v2_relink_unresolved,,https://api.openalex.org/works?filter=authorships.author.id:<vasilypestun>,,1.5.0,2026-07-24,20260827T142619Z_integration,,
678282:0,678282,LENA,Horizon 2020,Starting Grants,PE6 - Computer Science & Informatics,2015,2016-09-01,2016,2021-08-31,French Alternative Energies and Atomic Energy Commission,FR,1497411.0,1497411.0,ordinary_full_project,False,resolved,B,hal_author,v2_inherited,linked,Astrophysique Interprétation Modélisation,200919203N,Saint-Aubin,GIF SUR YVETTE CEDEX - ST AUBIN,91191,Île-de-France,v2_pipeline_geocode,Université Paris Diderot,Université Paris Diderot,1,Centre national de la recherche scientifique;Commissariat à l'énergie atomique et aux énergies alternatives,Centre national de la recherche scientifique;Commissariat à l'énergie atomique et aux énergies alternatives,,,,,,historical_rnsr_2016,,city_cedex_normalized,,https://api.archives-ouvertes.fr/search/?q=authFullName_t:,,1.5.0,2026-07-24,20260827T142619Z_integration,,
